rejection.Risk,Lower.CI,Upper.CI,SSVS_results,rejection.Risk_Noise,rejection.interaction,rejection.SDIR,SDIR
Reject,0.3124515212387094,0.8914665173367384,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1598189095316587
Reject,0.08043875033194527,0.5948767952070679,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2406142349394744
Accept,-0.08426329478008028,0.4500013669137406,"Gender, Age, ProgVar",Reject,Reject,Accept,0.20621781396262595
Accept,-0.006882767921996713,0.582367628135716,"Gender, Age, ProgVar",Reject,Reject,Reject,0.97980681370302
Reject,0.09231874812117499,0.7194144579541706,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2544575912371925
Reject,0.12264990347435809,0.7973557453652544,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1346033689762756
Reject,0.27964115459769373,0.9658042584855628,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0588738864241372
Reject,0.15033604935661243,0.7656573461236246,"Gender, Age, ProgVar",Accept,Reject,Reject,1.0620469224122782
Reject,0.12128068421584087,0.7065994944989002,"Gender, Age, ProgVar",Reject,Reject,Reject,1.3155606518190792
Reject,0.03492158131994044,0.5590990484445159,"Gender, Age, ProgVar",Reject,Reject,Accept,0.38343004606910713
Accept,-0.03571031691291876,0.5758091897783637,"Gender, Age, ProgVar",Accept,Reject,Accept,0.27322220636823225
Reject,0.19837064722110026,0.8719074824131113,"Gender, Age, ProgVar",Accept,Reject,Accept,0.6392672489251486
Accept,-0.023120554128539694,0.5373303589279734,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8080209399124185
Accept,-2.5426017676440094e-4,0.5792312016094274,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8070695478002946
Accept,-0.049487657882999136,0.5640146820802442,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8680579643211876
Reject,0.04778841075929734,0.6791876760230371,"Gender, Age, ProgVar",Reject,Reject,Reject,1.3127151321393644
Reject,0.021283831642600975,0.5780121499581117,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5860421731058952
Reject,0.15837603457676527,0.6917348174401448,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2702385017492284
Reject,0.22103448018924982,0.7636971671079751,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1210770904060636
Reject,0.031561516642846954,0.6363911315056984,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8771705949769518
Accept,-0.02729839315812782,0.5256183934498814,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7067339207886545
Reject,0.018383867334620052,0.5646538941934809,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8734779187924668
Accept,-0.01865174278573639,0.5847704623337486,"Gender, Age, ProgVar",Accept,Reject,Accept,0.6865548527594777
Reject,0.0798166724380719,0.6271484282452318,"Gender, Age, ProgVar",Reject,Reject,Accept,0.9227443853728159
Reject,0.028553834518478594,0.6538774843334393,"Gender, Age, ProgVar",Reject,Reject,Reject,1.139019834159076
Accept,-0.21418500360047232,0.5232134999180744,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6381700244896213
Reject,0.1949665504894514,0.7667367445609686,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1527010738707684
Accept,-0.20072242058695577,0.4192118843463744,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7908365986898142
Reject,0.23418347402001255,0.8079429009559276,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2105432289820865
Reject,0.2787053257568693,0.8995606166836642,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2313325178229024
Reject,0.0806458019728165,0.6359376534324412,"Gender, Age, ProgVar",Reject,Reject,Reject,1.041010493954728
Reject,0.12605282931998607,0.7596011551414982,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1113638260855525
Reject,0.2735956933407692,0.8219574183972934,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1593849117039319
Reject,0.12341114587036649,0.7181181350542953,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8780414353993479
Reject,0.2818189578073048,1.0091581055056242,"Gender, Age, ProgVar",Reject,Reject,Reject,1.16155926919108
Accept,-5.572490133951002e-4,0.6189725363257665,"Gender, Age, ProgVar",Reject,Reject,Accept,0.764561869439261
Reject,0.10168601589164658,0.7092671032227522,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0878979422290889
Reject,0.07294595130689613,0.7432399262557946,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0164887520596226
Accept,-0.07412290900531526,0.6164926830425759,"Gender, Age, ProgVar",Reject,Reject,Accept,0.9104905225500783
Reject,0.020720036207381026,0.6468647331389781,"Gender, Age, ProgVar",Reject,Reject,Reject,1.3053029439596178
Reject,0.05268882360965012,0.6142594857505788,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9835819771191834
Accept,-0.2647514302563658,0.30474363570190277,"Gender, Age, ProgVar",Reject,Reject,Accept,0.39979869896303843
Accept,-0.030308227404305194,0.4798900553887618,"Gender, Age, ProgVar",Accept,Reject,Accept,0.2816094282132585
Reject,0.12428334251185616,0.6876313731911807,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0234841186645405
Accept,-0.07040434900372669,0.4909017276780867,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5557160881176935
Reject,0.17640611344283363,0.720047976287847,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9533418776788849
Accept,-0.014732929831408937,0.6271110250914675,"Gender, Age, Outcome_BL, ProgVar",Reject,Reject,Accept,0.841274142013902
Reject,0.18760583845918805,0.7577073330140902,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6517404105377329
Reject,0.16204105807037364,0.8989824612977882,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6261802537474451
Accept,-0.025292509448893972,0.4889736130082976,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9085582388768064
Accept,-0.11593983401791894,0.3951117133797576,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7158631328055989
Accept,-0.1721506687427054,0.3822910554694562,"Gender, Age, ProgVar",Accept,Reject,Accept,0.3735354971803902
Accept,-0.31883134066111685,0.32892269319143924,"Gender, Age, ProgVar",Accept,Reject,Accept,0.5146023220530507
Reject,0.06167532987034685,0.690898630609829,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8394026520176319
Reject,0.2040242419483622,0.801384093382748,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9165598222026735
Reject,0.12480788636566491,0.698775364245433,"Gender, Age, ProgVar",Reject,Reject,Reject,1.08438992746745
Accept,-0.1735027353854545,0.4513695074314501,"Gender, Age, ProgVar",Reject,Reject,Reject,0.8589857803905488
Reject,0.37696100297186164,0.9134171194908014,"Gender, Age, ProgVar",Reject,Reject,Reject,1.18826191078458
Reject,0.11017573450726728,0.7211150295856511,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9732891284800513
Accept,-0.02243246089400501,0.5999627522586464,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7349421487236567
Reject,0.019289846163997926,0.721985048764039,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7428792769771464
Reject,0.011166541322098489,0.5393996959509622,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2230064834216827
Accept,-0.16141170672825547,0.4317235931611705,"Gender, Age, ProgVar",Reject,Reject,Accept,0.41475515947772784
Reject,0.3395003956318924,1.0304604038388105,"Gender, Age, ProgVar",Reject,Reject,Reject,1.4399215541052448
Reject,0.12659725653571724,0.9109494638173885,"Age, ProgVar",Accept,Reject,Accept,0.6143343798258359
Reject,0.13102144228164686,0.7213962022575485,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7628453706158376
Reject,0.12428643398486183,0.668964605458843,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6991074591362377
Accept,-0.1354394416538362,0.5029133574233309,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5629712796343407
Reject,0.1553396580143241,0.6798301454289813,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1057844120166738
Accept,-0.2608413332433501,0.28384785004627017,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5354730829086479
Accept,-0.030179969522250355,0.6281390977117873,"Gender, Age, ProgVar",Reject,Reject,Accept,0.703064055073595
Accept,-0.07096410208221625,0.49998642000026433,"Gender, Age, ProgVar",Accept,Reject,Accept,0.42411866635700163
Accept,-0.0042198092090400124,0.7228115484117809,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5762753996832123
Accept,-0.01689966915410171,0.5923567611544005,"Gender, Age, ProgVar",Reject,Reject,Accept,0.3492728536955926
Reject,0.08532104960497566,0.6003449387716475,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0422881731923832
Accept,-0.23029815446251334,0.3636602230566829,"Gender, Age, ProgVar",Reject,Reject,Accept,0.33404853702633747
Reject,0.07173290954614742,0.6724812949782253,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6729971833321947
Reject,0.25091967786442376,0.871267748337176,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0512489358871475
Reject,0.01439063395749346,0.6266077263573269,"Gender, Age, ProgVar",Reject,Reject,Accept,0.9052231973128667
Reject,0.33856792729906365,0.9308800707723758,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2139994932776292
Accept,-0.013422884521849712,0.5293534680678671,"Gender, Age, ProgVar",Reject,Reject,Accept,0.815809832505686
Reject,0.08819322145819455,0.7960448322641149,"Gender, Age, ProgVar",Accept,Reject,Accept,0.7851326128136443
Reject,0.0976758056494115,0.6852705054932612,"Gender, Age, ProgVar",Accept,Reject,Reject,1.1899039460253746
Reject,0.17110170110484874,0.7052916242760242,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1477297278883514
Reject,0.29771744928618105,0.7842669226939832,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2563560106041032
Accept,-0.19089744038697193,0.41227032051821677,"Gender, Age, ProgVar",Accept,Reject,Accept,0.18724559128696253
Reject,0.2285437336244403,0.8711294880586108,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8124655310656713
Reject,0.07268042486316548,0.7414090396446866,"Gender, Age, ProgVar",Reject,Reject,Accept,0.3166031867291293
Accept,-0.11853182095752043,0.5907438245073525,"Gender, Age, ProgVar",Reject,Reject,Accept,0.3726655318666046
Reject,0.01688632646448529,0.7449530186363172,"Gender, Age, ProgVar",Accept,Reject,Accept,0.3778912804150885
Reject,0.0303433949783448,0.6649773046477994,"Gender, Age, ProgVar",Reject,Reject,Accept,0.859071890550574
Reject,0.09649023245641944,0.7705882749500261,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0332415014534024
Reject,0.029530314704181493,0.6097707448734491,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6939673628835528
Accept,-0.09684570988979722,0.5355729205275319,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6030816720807644
Reject,0.04080279621369601,0.5882016891827906,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5768571178952332
Accept,-0.24286469442492298,0.26380063184436897,"Gender, Age, ProgVar",Reject,Reject,Accept,0.23876330247433963
Reject,0.01910199682672406,0.6971199985175259,"Gender, Age, ProgVar",Reject,Reject,Accept,0.9186327393982237
Reject,0.05807531412296865,0.7658900379125743,"Gender, Age, ProgVar",Accept,Reject,Accept,0.5970012754841348
Reject,0.157680705759905,0.6983274593982354,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7055896054477895
Reject,0.20560099683626537,0.8750819758845838,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9035223163389048
Accept,-0.30834216606216575,0.3349761033936469,"Gender, Age, ProgVar",Reject,Reject,Accept,0.20120687441447355
Reject,0.17558689343481038,0.7485245761869779,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8959430409829435
Accept,-0.31451027285907374,0.37392188671752247,"Gender, Age, ProgVar",Reject,Reject,Accept,0.576458234619776
Accept,-0.008598629493752952,0.625689403506806,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8996188913430115
Accept,-0.24388090866759102,0.31489494353375685,"Gender, Age, ProgVar",Accept,Reject,Accept,0.32971747096842985
Accept,-0.15988051919353635,0.4612705948789452,"Gender, Age, ProgVar",Reject,Reject,Accept,0.9361401126244118
Reject,0.12835838409745104,0.7826726234426311,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2945083996706155
Reject,0.4418380071965426,1.072513115591801,"Gender, Age, ProgVar",Reject,Reject,Reject,1.5069645292057257
Reject,0.024808112519943984,0.49527435957294397,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9136409193897375
Reject,0.2665942359638966,0.9034818576821889,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0215194512374333
Accept,-0.14571865941006334,0.4919118047257717,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8251920010441227
Reject,0.07800020837100974,0.7147742063752736,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1320762542384781
Accept,-0.13305652975769597,0.5415948644467439,"Gender, Age, ProgVar",Accept,Reject,Accept,0.21418583033257615
Accept,-0.03206167687618417,0.5136732367777164,"Age, ProgVar",Reject,Reject,Accept,0.7979555490725874
Reject,0.043985264446448624,0.6389182829856148,"Gender, Age, ProgVar",Reject,Reject,Reject,1.094580857951204
Reject,0.2394406202783126,0.8260940671658995,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0820645530517026
Reject,0.13031392175079903,0.6411566469587093,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8314981516343483
Reject,0.15016414107360893,0.6880870715649942,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7172668324587076
Reject,0.384298575062077,1.006394859563865,"Gender, Age, ProgVar",Reject,Reject,Reject,1.335283682572524
Accept,-0.26648479251434726,0.4304703398234413,"Gender, Age, ProgVar",Reject,Reject,Accept,0.3810210968480279
Reject,0.15518518905182654,0.803068640237667,"Gender, Age, ProgVar",Reject,Reject,Reject,0.8815590287001506
Reject,0.04593570699762528,0.6201346113498347,"Gender, Age, ProgVar",Reject,Reject,Accept,0.6350880195285084
Reject,0.34116313632079587,0.9208066583823855,"Gender, Age, ProgVar",Reject,Reject,Reject,1.2531154176324952
Accept,-0.2497740621554095,0.4083016290642122,"Gender, Age, Outcome_BL, ProgVar",Reject,Reject,Accept,0.8136375336420016
Reject,0.12386913027690666,0.7192500857870393,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0420816759402098
Accept,-0.11995331545901969,0.5030533591855979,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5208256651526876
Reject,0.035408424413322315,0.623329577830339,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7362950400554998
Accept,-0.08193212980878528,0.5343623283829594,"Age, ProgVar",Reject,Reject,Accept,0.7295794639785288
Reject,0.10363601235820755,0.7402492727282814,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8293674653759737
Reject,0.3132613120772222,0.8588416960626049,"Age, ProgVar",Reject,Reject,Reject,1.1887515923842948
Reject,0.14340815929173986,0.691109049538742,"Gender, Age, ProgVar",Reject,Reject,Accept,1.0040599468084521
Reject,0.20861690224876875,0.89256202862781,"Gender, Age, ProgVar",Reject,Reject,Reject,1.0718876763948888
Reject,0.15021280555839006,0.7457278841471193,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1777524083075241
Reject,0.1752209961579163,0.7181355522557884,"Gender, Age, ProgVar",Reject,Reject,Reject,1.1386983083926279
Reject,0.3162628533477616,0.9215864826652511,"Gender, Age, ProgVar",Reject,Reject,Reject,1.022996672012726
Reject,0.08583004878250342,0.6287953568779311,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7887776197674726
Reject,0.2859543131048187,0.9280502180145886,"Gender, Age, ProgVar",Reject,Reject,Accept,0.761769602766778
Accept,-0.38743523877327923,0.3591284894212497,"Age, ProgVar",Reject,Reject,Accept,0.2679286648811548
Accept,-0.021686054484210085,0.6764865439613829,"Gender, Age, ProgVar",Reject,Reject,Accept,0.759950950452065
Accept,-0.04494340011656972,0.6854042968817451,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9664273590765591
Reject,0.06527919292321652,0.633362292954507,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7633390890962466
Reject,0.2482729912363919,0.9007320961450296,"Gender, Age, ProgVar",Reject,Reject,Reject,0.9499379628868502
Accept,-0.12969721634033815,0.38013698401983714,"Gender, Age, ProgVar",Reject,Reject,Accept,0.8269168889507205
Accept,-0.05523315577146029,0.5852296864091404,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5312991155985382
Reject,0.49247661141450194,1.0342460828573998,"Gender, Age, ProgVar",Reject,Reject,Reject,1.3302698788563925
Reject,0.16399544182044368,0.7543241549729438,"Gender, Age, ProgVar",Reject,Reject,Accept,0.44527688061188625
Accept,-0.01687248966259492,0.5855375021657558,"Gender, Age, ProgVar",Reject,Reject,Accept,0.7549187635207953
Reject,0.043309127276740716,0.5759185357685914,"Gender, Age, ProgVar",Reject,Reject,Reject,0.8897853368807814
Accept,-0.1265591324561252,0.4667600676037862,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5807621724859074
Reject,0.20105862201674662,0.8073717783310445,"Gender, Age, ProgVar",Reject,Reject,Accept,0.5275572254080564
