rejection.Risk,Lower.CI,Upper.CI,SSVS_results,rejection.Risk_Noise,rejection.interaction,rejection.SDIR,SDIR
Accept,-0.34933501441851883,0.3238377854329582,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6137470202114611
Accept,-0.10521870318653523,0.5897458315274543,"Gender, Age, ProgVar",Accept,Accept,Reject,0.8896466023805825
Accept,-0.5580059524409705,0.12734254079416818,"Gender, Age, ProgVar",Accept,Accept,Accept,0.8706890931511909
Accept,-0.38510132713392997,0.2665404816670953,"Gender, Age, ProgVar",Accept,Reject,Accept,0.5382093038682212
Accept,-0.5521303902102798,0.12060634687293376,"Gender, Age, ProgVar",Accept,Accept,Accept,0.45002836159218085
Accept,-0.19953602725435968,0.5095606484631621,"Gender, Age, ProgVar",Accept,Accept,Accept,0.59002191342378
Accept,-0.24277107420375213,0.48934242834432107,"Gender, Age, ProgVar",Accept,Accept,Reject,0.9899505419516352
Accept,-0.15269869900217498,0.4668476698055857,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7718650934070468
Accept,-0.3333868781364035,0.3467204555617005,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6501720633429947
Accept,-0.480676419700395,0.23882994724631826,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4824245385083844
Reject,-0.7307515425281902,-0.03286215984355309,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3451529608587884
Accept,-0.5748615441976412,0.011555689478905437,"Gender, Age, ProgVar",Accept,Accept,Accept,0.33471709628122576
Accept,-0.3428842595991717,0.3530218079330921,"Gender, Age, ProgVar",Accept,Accept,Accept,0.28922916140480914
Accept,-0.4514153616959706,0.15216188957917023,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3823244744827173
Accept,-0.46878431681528904,0.16656159245332738,"Gender, Age, ProgVar",Accept,Accept,Accept,0.1689720971901268
Reject,0.0497905497592889,0.6981949644012395,"Gender, Age, ProgVar",Accept,Reject,Accept,0.6722512572651944
Accept,-0.6239149117664685,0.058359447798983666,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7890070697690682
Accept,-0.43304640923858123,0.4008396471270881,"Gender, Age, ProgVar",Accept,Accept,Accept,0.654193645979462
Accept,-0.07980301922641156,0.5746223775052559,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7757968198166738
Accept,-0.3974513518211623,0.3306985909343655,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3874403906686918
Accept,-0.1658627645015055,0.5740537948538684,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4444106010609216
Accept,-0.31266037434372074,0.34401014424503196,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4883541572122022
Accept,-0.4128488959948985,0.31331001866677544,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7336872169605108
Accept,-0.423695742301902,0.22740163818024808,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7295269450803205
Reject,0.012134941715549796,0.745126075476551,"Gender, Age, ProgVar",Accept,Accept,Accept,0.2607910806348084
Accept,-0.32697988479169876,0.35744842550675215,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5950730987132034
Accept,-0.24328462142543855,0.4469188962755477,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6970796517409779
Accept,-0.21196126826170802,0.37903547078659294,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7607074084181842
Accept,-0.11530423958362854,0.49357534308103135,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6525824754056836
Accept,-0.1322009243921683,0.5033019462866339,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7110986462449388
Accept,-0.17120437684345718,0.4897063223302362,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3420797997554886
Accept,-0.3027351623839534,0.4136212275172777,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5108589790930653
Accept,-0.17956178787882124,0.5010556529903198,"Gender, Age, ProgVar",Accept,Accept,Accept,0.67401318504821806
Accept,-0.5118833907896956,0.16681705396373342,"Gender, Age, ProgVar",Accept,Accept,Accept,0.49271886293068873
Accept,-0.4703531657963223,0.1785019165167633,"Gender, Age, ProgVar",Accept,Accept,Accept,0.560491798533758
Accept,-0.44800295121490913,0.1203550563174176,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4737543040783876
Accept,-0.4097979195181995,0.1814604208289916,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6031443760451174
Accept,-0.4233719078473477,0.24908716014994042,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3674127996266523
Accept,-0.20670698454416084,0.44339488530048937,"Gender, Age, ProgVar",Accept,Accept,Accept,0.38113097451636474
Accept,-0.4121974589442427,0.39829398734494537,"Gender, Age, ProgVar",Accept,Accept,Accept,0.20201522991795634
Accept,-0.34770847835254054,0.308501557331772,"Gender, Age, ProgVar",Accept,Accept,Accept,0.29700428472455753
Accept,-0.16022804252786219,0.4402343346998167,"Gender, Age, ProgVar",Accept,Accept,Accept,0.65546921597095
Accept,-0.17509779322030253,0.49677520586590085,"Gender, Age, ProgVar",Reject,Reject,Accept,0.558862349912893
Accept,-0.34681307585458304,0.23731975520511867,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5128876826974156
Accept,-0.5060746710772465,0.07710081074491384,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6283811368793568
Accept,-0.3419847210530284,0.34401301265680206,"Gender, Age, ProgVar",Accept,Accept,Accept,0.17885176538068873
Accept,-0.165830829948215,0.46139576654503656,"Gender, Age, ProgVar",Accept,Accept,Accept,0.37149624971162487
Accept,-0.4638518803729599,0.2280220017258746,"Gender, Age, ProgVar",Accept,Accept,Accept,0.521176428737356
Accept,-0.18157408499029304,0.4751471123424214,"Gender, Age, ProgVar",Accept,Accept,Accept,0.47524137752636336
Accept,-0.5372354426685988,0.09613145313208905,"Gender, Age, ProgVar",Accept,Accept,Accept,0.8826285435890583
Accept,-0.4595022006491628,0.34380292767376275,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4693903258473089
Accept,-0.01654292627637788,0.5858053169952815,"Gender, Age, ProgVar",Accept,Accept,Accept,0.12231333113266991
Accept,-0.27482202267576933,0.3271974383017014,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5840726655227836
Accept,-0.41577983541943053,0.2867850399948562,"Gender, Age, ProgVar",Accept,Accept,Accept,0.41134494515899744
Accept,-0.2969160500247905,0.45506243362085047,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5834816852663927
Accept,-0.6022768020088094,0.136445711828759,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5089843192795029
Accept,-0.49273094638387355,0.13556127327792747,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4346194150756221
Accept,-0.06607831581611137,0.613831807221322,"Gender, Age, ProgVar",Accept,Accept,Accept,0.8090559856449031
Accept,-0.5385192997324629,0.1839075739544265,"Gender, Age, ProgVar",Reject,Accept,Accept,0.46259346696731835
Accept,-0.3720261372249935,0.3134292637610384,"Gender, Age, ProgVar",Accept,Accept,Accept,0.4575862401342351
Accept,-0.3372642151885059,0.3372519336173877,"Gender, Age, ProgVar",Accept,Accept,Accept,0.47049522013188744
Accept,-0.42067712773263477,0.36727214292323535,"Gender, Age, ProgVar",Accept,Accept,Accept,0.2850601747468667
Accept,-0.19614314764148222,0.37447724246855124,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5295990343961687
Accept,-0.2822301700278425,0.39623288747915514,"Gender, Age, ProgVar",Accept,Accept,Accept,0.37686726005019694
Accept,-0.3004293226330679,0.40738275233537424,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3898845940756135
Accept,-0.37453915892393064,0.3482869563845012,"Gender, Age, ProgVar",Accept,Accept,Accept,0.601737749551954
Accept,-0.2467511209522138,0.4542681286936971,"Gender, Age, ProgVar",Accept,Accept,Accept,0.14544226704767957
Accept,-0.3752828275728199,0.33024652531035353,"Gender, Age, ProgVar",Accept,Accept,Accept,0.36036143263830767
Accept,-0.2588674356080654,0.44199896556399,"Gender, Age, ProgVar",Accept,Accept,Accept,0.46225425756607935
Accept,-0.15063825329124497,0.5449215884582737,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6890069135512379
Accept,-0.1669081708832244,0.6474645087558767,"Gender, Age, ProgVar",Accept,Accept,Reject,0.8849968264823751
Accept,-0.15468525846687772,0.5394125559617802,"Gender, Age, ProgVar",Accept,Accept,Accept,0.48029213750166494
Reject,0.0652808693944471,0.6993649346757523,"Gender, Age, ProgVar",Accept,Accept,Accept,0.10682686786247907
Accept,-0.4154216049752776,0.271246544428136,"Gender, Age, ProgVar",Accept,Accept,Accept,0.04111648329151577
Accept,-0.2945654530700467,0.4848131576880069,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5168350745302467
Accept,-0.4730959081827578,0.1930012701238354,"Gender, Age, ProgVar",Reject,Accept,Accept,0.6995742625601719
Accept,-0.506759515352887,0.14734187145355093,"Gender, Age, ProgVar",Accept,Accept,Accept,0.3844473531462697
Accept,-0.17681124955491773,0.4726863026768664,"Gender, Age, ProgVar",Accept,Accept,Accept,0.7306760736485666
Accept,-0.054439123198719755,0.6975268150159608,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6512592563719865
Accept,-0.20460045409669075,0.5726333088196447,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5884447350126876
Accept,-0.32045110762414813,0.38227967739741897,"Gender, Age, ProgVar",Accept,Accept,Accept,0.27615721450455494
Accept,-0.19404084925672976,0.48435479012090066,"Gender, Age, ProgVar",Accept,Accept,Accept,0.6566947606347471
Accept,-0.19474530594778972,0.5073871027500476,"Gender, Age, ProgVar",Accept,Accept,Accept,0.5897073924908725
Accept,-0.3878964282081091,0.3841710729466248,"Gender, Age, ProgVar",Accept,Accept,Accept,0.48319173779225677
Accept,-0.48463136600235657,0.36449757362185803,"Gender, Age, ProgVar",Accept,Accept,Accept,0.49397923589242315
Accept,-0.6484680391071245,0.13866124941892172,"Gender, Age, ProgVar",Accept,Reject,Accept,0.4902045117147223
Accept,-0.19914502421285735,0.48723074697981256,"Gender, Age, ProgVar",Accept,Accept,Reject,0.8723806286770918
Reject,0.048994209161812394,0.629411112354615,"Gender, Age, ProgVar",Accept,Reject,Reject,0.9059278020865195
