Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.43619835848342725,0.9033534287561745,0.20333193598423688,0.05978824249969605,0.3553238613258694,Reject,"Z1, Z2, Z4",1.218224708900716,0.20333193598423688,0.05226218562936277,0.34051478760801945,Reject,1.255699013005084,Reject,Reject,Accept,0.07307554909579017
0.6341163283814506,0.8876103270469908,0.1556376180697906,0.02387574945454447,0.29329382765833967,Reject,"Z1, Z2, Z4",1.6263306362052807,0.1556376180697906,0.028127933414055284,0.28715556016407,Reject,1.5736158543681094,Reject,Reject,Accept,0.7788827871530477
0.71696914236004206,0.9791590145480562,0.03491953018601097,-0.11161371173614124,0.1918021650609113,Accept,"Z1, Z2, Z4",1.3320057259056661,0.03491953018601097,-0.11825337011336784,0.1753997366607351,Accept,1.368512725400037,Accept,Accept,Accept,0.619267327494029
0.7334698531363213,0.9944384596194741,0.05068907181084496,-0.11037812580830128,0.19256429560730626,Accept,"Z1, Z2, Z4",1.5687254222279607,0.05068907181084496,-0.09965370527861339,0.18896169212290867,Accept,1.3243795671278764,Reject,Reject,Accept,0.613992064193423
0.4391243646121319,0.9794855905047314,0.1771008617600191,0.023151783317011235,0.3178292738288535,Reject,"Z1, Z2, Z4",1.383684190812358,0.1771008617600191,0.03557431309566671,0.3232652507418922,Reject,1.3403917128466565,Reject,Reject,Accept,0.09782890390160622
0.47297162419566036,0.9481558277868997,0.11727921769809194,-0.05279487180198323,0.2913506957775428,Accept,"Z1, Z2, Z4",1.4608222643298103,0.11727921769809194,-0.03946597089434252,0.28524582210959054,Accept,1.4903903551259738,Reject,Accept,Accept,0.5540908277181479
0.6814783095286048,0.959855994705871,0.13439168436127125,-0.020937818081214254,0.32105971925978516,Accept,"Z1, Z2, Z4",1.2167073862205127,0.13439168436127125,-0.056179102866687196,0.30730478163398367,Accept,1.3658345443155582,Reject,Reject,Accept,0.6917718913958832
0.6765285981800703,0.930259617003426,0.11137818690578809,0.0033101125044303487,0.3090424713141765,Reject,"Z1, Z2, Z4",1.5295765944713764,0.11137818690578809,-0.04446993895125057,0.25932366582241756,Accept,1.4605421705752035,Reject,Reject,Reject,1.0909019912258542
0.6599501829003036,0.980735797887234,0.03419742276692923,-0.0917118463320311,0.21511282587206268,Accept,"Z1, Z2, Z4",1.3844221321912886,0.03419742276692923,-0.11628034292608364,0.18699833092477902,Accept,1.2600356934570618,Reject,Accept,Accept,0.38144451209007474
0.5572305496817213,0.9299442764964972,0.0752220182862741,-0.08090875208581089,0.2334071651177025,Accept,"Z1, Z2, Z4",1.417335464677448,0.0752220182862741,-0.07408157903283455,0.22028974282057875,Accept,1.4326309046658898,Reject,Accept,Accept,0.708626932291254
0.46552407176708527,0.8707998413755377,0.19628729970924785,0.06987597058440073,0.3468578996623787,Reject,"Z1, Z2, Z4",1.5157697180223666,0.19628729970924785,0.06151531404161509,0.3292707685774337,Reject,1.457048057978772,Reject,Reject,Accept,0.1695753059200643
